briefitem,bibid,systemfolder,objectid,vid,publisher,format,pdf_name,pdf,title,image_name,thumb,image,imageid,measurements,title_alternative,title_original,subject,source_institution,rights,rightsstatement,type,description_physical,note,permanentlink,language,date_modified,date_created,format_original,holding_location,genre,publication_date,Collection,description,short_description,reference_url
"","","","special91","","","image/jpeg","","","Caples Fine Arts Complex Under Construction, Aerials, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/05/00001/Admissions2_384.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special91.html"
"","","","special92","","","image/jpeg","","","Caples House, January 1986","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/57/00001/EC081.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special92.html"
"","","","special93","","","image/jpeg","","","Caples, July 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/58/00001/EC086.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special93.html"
"","","","special94","","","image/jpeg","","","Caples Mansion Aerials, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/04/00001/Admissions2_376.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special94.html"
"","","","special95","","","image/jpeg","","","Caples Mansion, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/30/00001/Wallace282.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special95.html"
"","","","special96","","","image/jpeg","","","Caples, May 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/56/00001/EC079.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special96.html"
"","","","special97","","","image/jpeg","","","Caples, November 1981","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/43/00001/WC146.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special97.html"
"","","","special98","","","image/jpeg","","","Caples Patio, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/41/00001/WC144.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special98.html"
"","","","special99","","","image/jpeg","","","Caples Seawall, Big splash, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/44/00001/WC148.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special99.html"
"","","","special100","","","image/jpeg","","","Caples, Undated","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/42/00001/WC145.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special100.html"
"","","","special101","","","image/jpeg","","","Carlos Victorica, 1996","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/64/00001/VBP239.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special101.html"
"","","","special102","","","image/jpeg","","","Cartlidge Sculpture in Palmer Courtyard, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/34/00001/Wallace293.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special102.html"
"","","","special103","","","image/jpeg","","","Celebration of library funding","","http://ncf.sobek.ufl.edu/content/AA/00/02/58/33/00001/LIB403_016_001_00001.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special103.html"
"","","","special104","","","image/jpeg","","","Ceramics, March 1981","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/99/00001/SF042.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special104.html"
"","","","special105","","","image/jpeg","","","Ceramics, November 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/02/00001/SF045.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special105.html"
"","","","special106","","","image/jpeg","","","Champion Slash Pine, Caples, July 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/46/00001/WC150.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special106.html"
"","","","special107","","","image/jpeg","","","Charlene Lenger, July 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/50/00001/VBP111.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special107.html"
"","","","special108","","","image/jpeg","","","Charles Ringling mansion","","http://ncf.sobek.ufl.edu/content/AA/00/02/56/19/00001/ARCH2_OVER_001_00001.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special108.html"
